key,path,name,category,known_path,width,height,original_width,original_height,scale_x,scale_y,bytes,sha256,source,source_url,source_path,source_kind,alpha_min,alpha_max,original_alpha_min,original_alpha_max,alpha_mae,quality_review,manual_override,source_bytes_unchanged,collection_group
00000000972ffb63534c0c7d,Assets/Existing/Text/Main_Text.png,Main_Text,Text,Text/Main_Text.png,1024,1024,256,256,4.0,4.0,203831,b226fafd7bbd56fd901e3758f991fb258fb2b13a6993cd99ec597680684753ad,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,Text/Main_Text.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
0000000028cd577dd37b9d6c,Assets/Existing/Text/Street_Text.png,Street_Text,Text,Text/Street_Text.png,1024,1024,256,256,4.0,4.0,124040,70614d06f4063d245e9841f0eba550f9d5d6a2bcfac8333eef817dbe3edc72de,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,Text/Street_Text.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
0000000044c9aa6e5d5cbf6f,Assets/Existing/Text/Pricedown.png,Pricedown,Text,Text/Pricedown.png,1024,1024,256,256,4.0,4.0,59311,e00dd8db49b8d3aa6ee05fc22d6a4f6c156399a9e1f9ce62f8000075344021b9,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,Text/Pricedown.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
00000000609f84580fec21f3,Assets/Existing/Text/HUD_Numbers.png,HUD_Numbers,Text,Text/HUD_Numbers.png,1024,512,,,,,33818,9f054dd97ec8f0bda6990e6930d2bc1ecffc7ec17c8c920fd30be56900bc20a2,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,Text/HUD_Numbers.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
0000000035a9f7e31e93a5b8,Assets/Existing/HUD/Health_Outline.png,Health_Outline,HUD,HUD/Health_Outline.png,512,128,,,,,2840,cd1c7b76884993a2cb0725e970781d476116b36e7d8d5f55155b189ba5043d86,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Health_Outline.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
000000004875f2b44456c347,Assets/Existing/HUD/Health.png,Health,HUD,HUD/Health.png,512,128,,,,,1526,10e780ff441e32d58c64e34ecc5ec5816428ff02caa43509eecb3357f6393bb5,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Health.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
000000004958d0e429963747,Assets/Existing/HUD/Health_Background.png,Health_Background,HUD,HUD/Health_Background.png,512,128,,,,,1521,d874d18a803327c46602a6b4b5106a70d4f3f62dab0efe1cc5407e74374112f3,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Health_Background.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
00000000b1c2d3b5d7e5651c,Assets/Existing/HUD/Armor.png,Armor,HUD,HUD/Armor.png,512,128,,,,,1511,6cb9da02723de1b8f3b2ddc29304493e048a00b89813ed69fd6a38e8364dd478,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Armor.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
00000000317612db29963747,Assets/Existing/HUD/Armor_Background.png,Armor_Background,HUD,HUD/Armor_Background.png,512,128,,,,,1368,c780500719d636783b4c56dcad05ee191d92011c510ceaa1bc1f002c653d5825,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Armor_Background.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
000000003693c7050b857098,Assets/Existing/HUD/Lock_On_Reticle.png,Lock_On_Reticle,HUD,HUD/Lock_On_Reticle.png,128,128,,,,,1980,47c4ea510313836351851449f305bbfb30b816b24cbb8737cdaca77e8ecbf478,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Lock_On_Reticle.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
00000000123bf44cd9438ae0,Assets/Existing/HUD/Free_Aim_Reticle.png,Free_Aim_Reticle,HUD,HUD/Free_Aim_Reticle.png,256,256,,,,,10828,0abda04eebe84a8fcf4672bb15a6ccc1065ce88e6a7a0acb9651541a4a565644,sonofugly_existing,https://github.com/SonofUgly/VCS-Texture-Pack,HUD/Free_Aim_Reticle.png,existing_hd_preserved,0,255,,,,Existing installed HD copied unchanged; no new visual quality verdict,,True,existing
